Solve Method,Duration(ms)
A* solved g(n)=0,22355
A* solved,44457
A* solved g/4,31907
Breadth solved,19891
A* solved g(n)=0,31819
Depth solved,15115
A* solved g/2,31969
A* solved,46918
A* solved g/2,21381
Depth solved,33649
A* solved g/4,21386
A* solved g(n)=0,21374
Breadth solved,22701
A* solved g(n)=0,20227
Breadth solved,22355
Depth solved,17136
A* solved g/4,15075
A* solved,37955
A* solved g/2,15059
A* solved g/4,42069
Depth solved,32160
A* solved,52257
A* solved g(n)=0,36907
A* solved g/2,36861
Breadth solved,26566
A* solved g(n)=0,31994
A* solved g/4,26307
A* solved,34136
A* solved g/2,26198
Depth solved,22177
Breadth solved,18284
A* solved,50758
A* solved g(n)=0,19487
Depth solved,45178
A* solved g/4,19525
Breadth solved,24017
A* solved g/2,19552
Breadth solved,18570
A* solved,25044
A* solved g(n)=0,47993
Depth solved,10459
A* solved g/2,47935
A* solved g/4,48010
Depth solved,39219
A* solved g/2,21019
Breadth solved,23377
A* solved g/4,21004
A* solved,45975
A* solved g(n)=0,21033
A* solved g/4,38830
A* solved,40680
Depth solved,16959
Breadth solved,22658
A* solved g/2,33647
A* solved g(n)=0,33670
Breadth solved,23066
A* solved g(n)=0,29912
Depth solved,17120
A* solved g/4,29927
A* solved,33545
A* solved g/2,29931
A* solved g/2,33481
A* solved,49052
Depth solved,35027
Breadth solved,25111
A* solved g/4,28149
A* solved g(n)=0,28289
A* solved g(n)=0,33444
A* solved g/2,28215
Breadth solved,13619
Depth solved,38109
A* solved g/4,28297
A* solved,26270
A* solved,36708
Breadth solved,16409
A* solved g/2,25180
A* solved g(n)=0,25165
Depth solved,40914
A* solved g/4,25187
A* solved,26762
Depth solved,41761
A* solved g/4,13350
Breadth solved,11262
A* solved g/2,13349
A* solved g(n)=0,13356
Depth solved,27071
Breadth solved,22546
A* solved g(n)=0,42885
A* solved g/2,42763
A* solved g/4,42858
A* solved,44369
A* solved g(n)=0,33991
Breadth solved,26167
A* solved g/2,28770
A* solved g/4,28824
Depth solved,12548
A* solved,51567
Breadth solved,25530
A* solved g/2,42813
A* solved,37667
Depth solved,46547
A* solved g(n)=0,42701
A* solved g/4,42800
A* solved g/4,53067
A* solved,50789
A* solved g(n)=0,47966
Depth solved,20325
A* solved g/2,47900
Breadth solved,25839
A* solved g(n)=0,50452
Breadth solved,26930
A* solved g/2,45229
Depth solved,37994
A* solved g/4,45251
A* solved,53329
Breadth solved,28222
A* solved g/2,26914
A* solved,45280
Depth solved,35705
A* solved g(n)=0,26813
A* solved g/4,26883
A* solved g/2,50394
Depth solved,43184
A* solved g/4,45203
A* solved,50048
Breadth solved,25942
A* solved g(n)=0,45188
Depth solved,46001
Breadth solved,17424
A* solved g(n)=0,31426
A* solved g/2,31268
A* solved,34202
A* solved g/4,31436
Depth solved,27608
A* solved g/2,18333
Breadth solved,19664
A* solved g(n)=0,18371
A* solved,37582
A* solved g/4,18384
A* solved g/4,20009
Depth solved,23685
A* solved,29319
A* solved g(n)=0,14819
A* solved g/2,14884
Breadth solved,16474
Depth solved,22305
A* solved g/4,26117
A* solved g/2,26093
A* solved g(n)=0,26073
Breadth solved,15501
A* solved,27711
A* solved g/2,37957
A* solved,34050
A* solved g/4,32771
A* solved g(n)=0,31072
Breadth solved,17596
